,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Nome,Garantia,FABRICANTE/MARCA,MODELO,Número/serie ,Data de fabricação,Validade ,condição,Localização ,patrimônio,Quantidade
Luva anticorte ,n/info,VOLK do Brasil,tam9,10.10.957.07,11/22,n/info,fechado/aberto,Primeiro armário/segunda prateleira ,,4
Micro retifica ,n/info,Bosch,Dremel 3000,F013 300 0GA 000,N/INFO,n/info,COMPLETO,Primeiro armário/segunda prateleira ,,1
Micro retifica ,1 ano ,BlackDecker,RT18KA,N/INFO,N/INFO,n/info,COMPLETO,Primeiro armário/segunda prateleira ,,1
Paquímetro digital,3meses,MTX,316119/150mm,N/INFO,N/INFO,n/info,COMPLETO,Primeiro armário/segunda prateleira ,,1
Multímetro digital,n/info,Politerm,POL-76A,98951331,N/INFO,n/info,COMPLETO,Primeiro armário/segunda prateleira ,,1
Jogo de ferramentas ,n/info,Tramontina,65 peças/cVerde,N/INFO,N/INFO,n/info,faltando peças,Primeiro armário/segunda prateleira ,,1
Furadeira/parafu,n/info,BlackDecker,CD121K100,N/INFO,N/INFO,n/info,COMPLETO,Primeiro armário/segunda prateleira ,,1
Óculos segurança,n/info,n/info,incolor,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,3
cabo de prova,n/info,n/info,vermelho,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,14
cabo de prova,n/info,n/info,verde,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,4
cabo de prova,n/info,n/info,azul,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,4
cabo de prova,n/info,n/info,preto,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,3
Espátula Multiuso,n/info,n/info,5cm ,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,3
Grampeador ,n/info,Adec,GE-302,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,1
Grampo Galvanizado ,n/info,Make+,Tam26/6 6mm,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,1
Pilha recarregável ,n/info,Bap energy ,Bap-650/ 2700mAh,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,2
carregador Pilha ,n/info,Bap energy ,Bap-551,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,1
Caixa organizadora,n/info,Desconhecido ,Desconhecido ,N/INFO,N/INFO,n/info,Vazias,Primeiro armário/segunda prateleira ,,26
Gaveteiro Organizador ,n/info,,6 Gavetas Gv-39,N/INFO,N/INFO,n/info,,Primeiro armário/primeira prateleira ,,1
Adesivo líquido p/ impressão 3D,n/info,Cotrim,Desconhecido ,7901721105773,01/06/24,08/26,,Primeiro armário/segunda prateleira ,,2
Ferro de solda ,n/info,HIKARI,Desconhecido ,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,1
Adesivo Plástico ,n/info,Amanco ,tubos e conexões PVC rígido,98004,08/2017,24 meses,em uso/ acabando ,Primeiro armário/segunda prateleira ,,1
Conjunto parafuso/bucha/prego,n/info,n/info,Desconhecido ,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,1
Conectores Bananas ,n/info,n/info,Desconhecido ,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,1
Multímetro digital,n/info,Kokay,ponta d eprova ,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,1
Pasta p/ soldar ,n/info,Solda Cobix,Desconhecido ,N/INFO,2023,24 meses,,Primeiro armário/segunda prateleira ,,1
Alicate de corte,n/info,Fujiya,FPN-125FS,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,1
Alicate de ponta,n/info,Desconhecido ,mini,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,1
Chave de philips,n/info,Rayco,laranja ,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,1
Fita dupla face,n/info,Adelbras,Desconhecido ,N/INFO,N/INFO,12/27,,Primeiro armário/segunda prateleira ,,1
Cola madeira ,n/info,Almata,Desconhecido ,6370823,N/INFO,08/25,,Primeiro armário/segunda prateleira ,,1
Sensor de temperatura ,n/info,Desconhecido ,Desconhecido ,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,1
Bicarbonato de sódio ,n/info,Farmax S.A,Desconhecido ,N/INFO,01/23,01/26,,Primeiro armário/segunda prateleira ,,1
Adptador de tomada universal,n/info,n/info,Desconhecido ,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,2
Fita isolante ,n/info,Embalando fitas adesivas ,Largura 12mm,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,1
Sugador de solda ,3meses,MXT,Desconhecido ,407720,10/20,n/info,,Primeiro armário/segunda prateleira ,,1
canetas quadro,n/info,V pilot,redonda média,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,2
canetas quadro,n/info,BRW,preto/azul,N/INFO,N/INFO,n/info,,Primeiro armário/segunda prateleira ,,2
