Nome,Garantia,Cor,Fabricante/marca ,Modelo ,Numero de serie ,Data de fabricação,Validade ,Condição/localização,Patrimonio ,Quantidade,,,
Filamento,n/info,veremelho,GTMax3D,ABS,2601EGP,10/10/23,n/info,Fechado,,1,,,
Filamento,n/info,Amarelo,GTMax3D,ABS,0112E1GP,10/10/23,n/info,Fechado,,1,,,
Filamento,n/info, Azul escuro,GTMax3D,ABS,0301E2GP,10/10/23,n/info,Fechado,,1,,,
Filamento,n/info,Branco ,GTMax3D,ABS,LT0604,20/10/22,n/info,fechado/aberto,,10,,,
Filamento,n/info,Branco ,GTMax3D,PLA,LT805A,03/04/23,n/info,fechado/aberto,,5,,,
Filamento,n/info,Preto,GTMax3D,PLA,2401E3PL,10/10/23,n/info,fechado/aberto,,2,,,
Filamento,n/info,Verde,GTMax3D,ABS,2111E2GP,10/10/23,n/info,Aberto,,1,,,
Filamento,n/info,Branco ,RoHs,PLA,PLA4B323500347,N/INFORMADO,n/info,Aberto,,2,,,
Filamento,n/info,Branco ,DESCONHECIDO,PLA,DESCONHECIDO ,N/INFORMADO,n/info,Fechado,,3,,,
Fio,n/info,vermelho,VT CORPORATION,DESCONHECIDO,B-30-1000,N/INFORMADO,n/info,Aberto,,1,,,
Fonte de alimentação ,n/info,preto,DESCONHECIDO ,AC/DC,ODL-0910AOA,N/INFORMADO,n/info,Armario03,,13,,,
cabo hdmi,n/info,,DESCONHECIDO,20276,DESCONHECIDO ,N/INFORMADO,n/info,,,1,,,
cabo micro hdmi ,n/info,,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO ,N/INFORMADO,n/info,fechado,,1,,,
RaspberryPI 4,n/info,,TRXcom,B,TRJGO926HENL,2018,n/info,Gaveteiro/Arm03,,2,,,
Case p/ RaspberryPI 4,n/info,,TRXcom,DESCONHECIDO,DESCONHECIDO ,N/INFORMADO,n/info,Gaveteiro/Arm03,,2,,,
MiniDissipador de calor,n/info,,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO ,N/INFORMADO,n/info,fechado,,2,,,
carro seguidor ,n/info,,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO ,N/INFORMADO,n/info,armario02,,12,,,
CARDBOARD - KIT PARA CELULAR – 5VR,n/info,,OHANA,5VR,DESCONHECIDO ,N/INFORMADO,n/info,armario02,,5,,,
modulo C/ arduino,n/info,,DESCONHECIDO,RF433MH2,DESCONHECIDO ,N/INFORMADO,n/info,fechado,,5,,,
Módulo driver p/motor,n/info,,DESCONHECIDO,ULN2003,DESCONHECIDO ,N/INFORMADO,n/info,caixa organiza,,7,,,
Módulo Fonte de alim/ Protoboard,n/info,,DESCONHECIDO,HW-131,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
Modulo acelerômetro/giroscopio3E,n/info,,,MPU-6050/GY-521,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
Modulo sensor de vibração ,n/info,,DESCONHECIDO,SW-420,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
Botão/chaveHH/potenciometro ,n/info,,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO ,N/INFORMADO,n/info,FECHADO,,1,,,
motor de passo ,n/info,,DESCONHECIDO,28BYJ-48,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,6,,,
Modulo osciloscópio ,n/info,,DESCONHECIDO,HW-111,DESCONHECIDO ,N/INFORMADO,n/info,FECHADO,,1,,,
