Nome,Garantia,Fabricante/marca ,Modelo ,Numero de serie ,Data de fabricação,Validade ,Condição,Localização,Patrimonio ,Quantidade
Teclado e mouse ,3 anos ,Multi,S/fio CS400,TC212,N/informado ,N/APLICA,Fechado,Primeiro armário ,,2
Teclado ,n/info,Multilaser,C/fio ,TC206,N/informado ,N/INFORMADO,Aberto,Primeiro armário ,,1
Monitor ,n/info,LG, 22’’ 22BN550Y-B.AWZ,21000374,N/informado ,N/INFORMADO,,pia da impressora,,2
Monitor ,n/info,AOC,"21,5’’ LED",85285200,N/informado ,N/INFORMADO,,Segundo armário ,,2
Caneta 3D,n/info,One by WACOM,Desconhecido ,P62-2,DESCONHECIDO ,N/INFORMADO,n/info,bancada,,3
Mesa digitalizadora,n/info,One by Wacom,CTL-472,OLEOOL1056730,2020,N/INFORMADO,n/info,Primeiro armário ,,1
Óculos 3D,n/info,Meta ,Quest 2,n/inf,DESCONHECIDO ,N/INFORMADO,n/info,Primeiro armário ,,1
adaptador cartaoMemoria,n/info,Smart Quicky,microsdxc/512GB,c286,2013,N/INFORMADO,n/info,Primeiro armário ,,1
cartão memoria ,n/info,TrxXom,SDHC/8GB,DESCONHECIDO ,N/informado ,N/INFORMADO,n/info,Em uso/impressora,,1
cartão memoria ,n/info,SanDisk,microSDHC/32GB,DESCONHECIDO ,2020,N/INFORMADO,n/info,Primeiro armário ,,2
Kit plug adptador p/ fonte univeral,n/info,Desconhecido,Desconhecido ,DESCONHECIDO ,N/informado ,N/INFORMADO,n/info,Primeiro armário ,,1
Injetor de energia ,n/info,Cisco ,DPPSN-35FB A ,341-0212-01,N/informado ,N/INFORMADO,n/info,Primeiro armário ,,1
Cabo Ethernet ,n/info,Desconhecido,RJ-45,DESCONHECIDO ,N/informado ,N/INFORMADO,n/info,Primeiro armário ,,3
