Descrição dos itens,Número da NF,Data de emissão,Fornecedor ,02.082.884/0001-04,Quantidade ,Valor total ,,
Kit Raspberry PI4,000.000.41,23/04/2024,Broadcast Comercio e licitações LTDA,44.961.146/0001-79,2,"R$ 3.900,00",,
Conjunto Splike prime (lego),000.000.391,31/01/2024,Santana centro das antenas LTDA,57.464.653/0004-91,3,"R$ 9.430,52",,
Kit educ arduino mega 256,617,14/06/2023,Ti eletricos ,39.678.810/0001-37,7,"R$ 1.540,00",,
Kit educ de robotica  c/ arduino uno R3,617,14/06/2023,Ti eletricos ,39.678.810/0001-37,7,"R$ 1.085,00",,
Kit educ de robotica  c/ arduino uno R3,617,14/06/2023,Ti eletricos ,39.678.810/0001-37,7,"R$ 1.050,00",,
Kit c/ carregador CB054 + 8 PILH,617,14/06/2023,Ti eletricos ,39.678.810/0001-37,4,"R$ 860,00",,
Kit educacional p/ESP32,617,14/06/2023,Ti eletricos ,39.678.810/0001-37,4,"R$ 720,00",,
Kit c/ 37 módulos c/ box organizador  ,000.849,26/04/2023,Varimix comercio & serviços LTDA,42.106.060/0001-33,7,"R$ 637,49",,
Cabo cobre NU 50MM,000.003.225,28/10/2024,Braz e Brito refrigeração ,20.308.435/0001-05,12,"R$ 675,84",,
Mini motor  Dc A 6v p/ arduino ,000.011.766,26/06/2023,Jorge Paulo de Santana ,28.409.554/0001-66,10,"R$ 40,50",,
Kit Filamento ,000.029.954,26/06/2023,Ideal Brasil,46.005.227/0001-20,1,"R$ 58,49",,
Filamento ABS  premium branco Gtmax3D,000.000.229,05/06/2023,Americana 3D equipamentos eletronicos e materias plasticos ,44.653.093/0001-29,9,"R$ 765,00",,
Filamento PLA 1.75mm Branco premium Gtmax3D,000.000.299,05/06/2023,Americana 3D equipamentos eletronicos e materias plasticos ,44.653.093/0001-29,9,"R$ 765,00",,
Filamento Abs Premium amarelo 1KG,000.000.6923,06/02/2024,Gtmax Tecnologia em eletronica LTDA-EPP,07.483.598/0001-66,1,"R$ 64,00",,
Filamento Abs Premium azul escuro 1KG,000.000.6923,06/02/2024,Gtmax Tecnologia em eletronica LTDA-EPP,07.483.598/0001-66,1,"R$ 64,00",,
Filamento aBS premium verde 1KG,000.000.6923,06/02/2024,Gtmax Tecnologia em eletronica LTDA-EPP,07.483.598/0001-66,1,"R$ 64,00",,
Filamento ABS premium Vermelho 1kg,000.000.6923,06/02/2024,Gtmax Tecnologia em eletronica LTDA-EPP,07.483.598/0001-66,1,"R$ 64,00",,
Filamento PLA 1.75mm amarelo premium ,000.000.6923,06/02/2024,Gtmax Tecnologia em eletronica LTDA-EPP,07.483.598/0001-66,1,"R$ 84,00",,
Filamento PLA 1.75mm Azul translúcido ,000.000.6923,06/02/2024,Gtmax Tecnologia em eletronica LTDA-EPP,07.483.598/0001-66,1,"R$ 84,00",,
Filamento PLA 1.75mm preto premium ,000.000.6923,06/02/2024,Gtmax Tecnologia em eletronica LTDA-EPP,07.483.598/0001-66,1,"R$ 84,00",,
Filamento PLA 1.75mm vermelho premium ,000.000.6923,06/02/2024,Gtmax Tecnologia em eletronica LTDA-EPP,07.483.598/0001-66,1,"R$ 84,00",,
Mouse e teclado sem fio ,94,05/09/2024,LSA soluções e destribuição LTDA,47.975.975/0001-07,7,"R$ 420,00",,
Clip bateria 9v,000.108.145,06/07/2023,Renato Ferian Curcio ,24.548.001/0001-33,1,"R$ 26,91",,
"Jogo de chaves Allen hexagonal gedore 1,5 A 10mm 9 peças ",000.027.422,06/07/2023,LDCL comercial LTDA,41.076.923/0001-04,1,"R$ 37,71",,
Bateria recarregável 250mah 9v sensor brinquedo elgin,000.602.942,06/0723,Vobella soluções distribuição ,40.188.681/0001-88,7,"R$ 249,90",,
CREALITY CR 10 smart pro tipo standard ,000.023.021,24/07/2023,3D slim tecnologia comercio de equipamentos LTDA,33.858.026/000124,2,"R$ 8.700,00",,
"Monitor AOC 21,5 LED",000.016,08/08/2023,VM Araujo Empreendedor ,47.104.689/0001-68,2,"R$ 2.217,08",,
Solda em tubo 25g emporio k ,000.075.492,05/06/2023,Mobi.com comercial EIRELI EPP,20.552.119/0001-84,1,"R$ 8,99",,
Sugador de solda  ,000.075.492,05/06/2023,Mobi.com comercial EIRELI EPP,20.552.119/0001-84,1,"R$ 8,69",,
Lupa c/ suporte e pinça HL-S10,000.075.492,05/06/2023,Mobi.com comercial EIRELI EPP,20.552.119/0001-84,1,"R$ 62,78",,
Pasta p/ soldar pote 110g cobix ,000.075.492,05/06/2023,Mobi.com comercial EIRELI EPP,20.552.119/0001-84,1,"R$ 9,74",,
Suporte p/ ferro de solda ,000.075.492,05/06/2023,Mobi.com comercial EIRELI EPP,20.552.119/0001-84,1,"R$ 16,62",,
Ferro de soldar Power 40 127v,000.075.492,05/06/2023,Mobi.com comercial EIRELI EPP,20.552.119/0001-84,1,"R$ 61,22",,
Par de luva anticorte e alta temp Black tractor volk ,000.009.375,26/06/2023,NET variedades comercio LTA,39.734.881/0001-00,3,"R$ 90,60",,
Micro retifica c/contr torque 180w 127RT 18ka-br,000.308.129,27/06/2023,Ferragens floresta LTDA,21.009.346/0001-20,1,"R$ 330,04",,
Monitor LG 22’’ 22BN550Y-B.AWZ,354,18/07/2024,M Cavalcante comercio de maquinas e equipamentos EIRELI,32.337.901/0001-60,1,"R$ 769,90",,
Painel placa c/ fio solar 6V 1w 200MA 110x60 mm mini,000.067.757,06/07/2023,Antonio Carlos Nogeuira ,43.143.517/0001-42,8,"R$ 207,92",,
Fita dupla face transparente ,000.244.552,25/07/2023,Chaveiro e bazar itaboraí ,02.082.884/0001-04,1,"R$ 19,90",,
Marcador permanente 1.0,000.244.552,25/07/2023,Chaveiro e bazar itaboraí ,02.082.884/0001-04,1,"R$ 6,50",,
Fita crepe ,000.244.552,25/07/2023,Chaveiro e bazar itaboraí ,02.082.884/0001-04,1,"R$ 6,00",,
terminal femea pre- isola ,000.258.154,21/11/2023,Chaveiro e bazar itaboraí ,02.082.884/0001-04,10,"R$ 5,00",,
"Fio paralelo 2,5Mm",000.258.154,21/11/2023,Chaveiro e bazar itaboraí ,02.082.884/0001-04,6kg,"R$ 39,00",,
Pino macho reto 10a,000.258.154,21/11/2023,Chaveiro e bazar itaboraí ,02.082.884/0001-04,5,"R$ 29,50",,
Fita isolante 20mts,000.258.154,21/11/2023,Chaveiro e bazar itaboraí ,02.082.884/0001-04,1,"R$ 12,00",,
Luva de redução pvc ¾,000.258.154,21/11/2023,Chaveiro e bazar itaboraí ,02.082.884/0001-04,3,"R$ 16,50",,
Fita veda rosca Amanco ,000.258.154,21/11/2023,Chaveiro e bazar itaboraí ,02.082.884/0001-04,1,"R$ 10,00",,
